Id,Label,House
Obara-Sand,Obara Sand,Other
Oberyn-Martell,Oberyn Martell,Martell
Ogo,Ogo,Other
Old-Bill-Bone,Old Bill Bone,Other
Olenna-Redwyne,Olenna Redwyne,Other
Olyvar-Frey,Olyvar Frey,Frey
Orell,Orell,Other
Orton-Merryweather,Orton Merryweather,Other
Osfryd-Kettleblack,Osfryd Kettleblack,Other
Osha,Osha,Other
Osmund-Kettleblack,Osmund Kettleblack,Other
Osney-Kettleblack,Osney Kettleblack,Other
Oswell-Kettleblack,Oswell Kettleblack,Other
Oswell-Whent,Oswell Whent,Other
Othell-Yarwyck,Othell Yarwyck,Other
Othor,Othor,Other
Ottyn-Wythers,Ottyn Wythers,Other
Owen,Owen,Other
Owen-Merryweather,Owen Merryweather,Other
Oznak-zo-Pahl,Oznak zo Pahl,Other
Palla,Palla,Other
Patchface,Patchface,Other
Pate-(novice),Pate (novice),Other
Pate-(Old),Pate (Old),Other
Pate-(whipping-boy),Pate (whipping boy),Other
Patrek-of-Kings-Mountain,Patrek of Kings Mountain,Other
Paxter-Redwyne,Paxter Redwyne,Other
Penny,Penny,Other
Perwyn-Frey,Perwyn Frey,Frey
Petyr-Baelish,Petyr Baelish,Other
Petyr-Frey,Petyr Frey,Frey
Pia,Pia,Other
Podrick-Payne,Podrick Payne,Other
Polliver,Polliver,Other
Pono,Pono,Other
Porridge,Porridge,Other
Porther,Porther,Other
Poxy-Tym,Poxy Tym,Other
Praed,Praed,Other
Prendahl-na-Ghezn,Prendahl na Ghezn,Other
Preston-Greenfield,Preston Greenfield,Other
Puckens,Puckens,Other
Pyat-Pree,Pyat Pree,Other
Pycelle,Pycelle,Other
Pyg,Pyg,Other
Pylos,Pylos,Other
Pypar,Pypar,Other
Qarl-the-Maid,Qarl the Maid,Other
Qavo-Nogarys,Qavo Nogarys,Other
Qezza,Qezza,Other
Qhorin-Halfhand,Qhorin Halfhand,Other
Qotho,Qotho,Other
Quaithe,Quaithe,Other
Quaro,Quaro,Other
Quellon-Greyjoy,Quellon Greyjoy,Greyjoy
Quentyn-Martell,Quentyn Martell,Martell
Quhuru-Mo,Quhuru Mo,Other
Quill,Quill,Other
Qyburn,Qyburn,Other
Rafford,Rafford,Other
Ragwyle,Ragwyle,Other
Rakharo,Rakharo,Other
Ralf-(Limper),Ralf (Limper),Other
