Id,Label,house,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Alebelly,Alebelly,Other,4,19,6,0.295979,0.312138,2.25,0.005221,0.005221,0.000832,0,1,13,0.5,3,0.021783
Alerie-Hightower,Alerie Hightower,Other,2,6,7,0.281915,0.295924,0,0.006274,0.006274,0.000416,0,10,17,1,1,0.024187
Alester-Florent,Alester Florent,Other,7,41,6,0.318127,0.3387,114.515463,0.015097,0.015097,0.001199,0,2,8,0.619048,13,0.061714
Alla-Tyrell,Alla Tyrell,Tyrell,5,43,7,0.304248,0.324079,3.710908,0.012282,0.012282,0.000831,0,13,12,0.7,7,0.047656
Allar-Deem,Allar Deem,Other,2,7,6,0.327295,0.344612,0,0.011663,0.011663,0.000432,0,10,2,1,1,0.046611
Allard-Seaworth,Allard Seaworth,Other,3,13,6,0.3097,0.328029,5.259524,0.008137,0.008137,0.000695,0,2,8,0.666667,2,0.033414
Alleras,Alleras,Other,8,48,6,0.272915,0.292683,4481.463732,0.002925,0.002925,0.00181,0,14,6,0.428571,12,0.015132
Alliser-Thorne,Alliser Thorne,Other,15,159,5,0.363014,0.392285,699.989263,0.039757,0.039757,0.00215,0,11,6,0.533333,56,0.168747
Alyn,Alyn,Other,5,32,6,0.327026,0.3426,7.271035,0.018421,0.018421,0.000819,0,10,18,0.7,7,0.072977
Alys-Arryn,Alys Arryn,Arryn,2,7,7,0.2771,0.289635,794,0.00279,0.00279,0.000755,0,4,10,0,0,0.01095
Alys-Karstark,Alys Karstark,Other,3,24,6,0.310547,0.331593,0,0.006964,0.006964,0.000625,0,11,6,1,3,0.030943
Alysane-Mormont,Alysane Mormont,Other,3,28,6,0.312992,0.331237,0,0.007464,0.007464,0.000677,0,7,7,1,3,0.030948
Amabel,Amabel,Other,2,10,7,0.301593,0.319404,0,0.00626,0.00626,0.000564,0,0,0,1,1,0.025081
Amerei-Frey,Amerei Frey,Frey,3,20,7,0.311887,0.33041,0.72549,0.010507,0.010507,0.000577,0,9,11,0.666667,2,0.040937
Amory-Lorch,Amory Lorch,Other,20,105,7,0.348226,0.380326,372.884547,0.069042,0.069042,0.002541,0,0,5,0.521053,99,0.268563
Anders-Yronwood,Anders Yronwood,Other,2,7,8,0.272821,0.287911,5.245088,0.00266,0.00266,0.000468,0,6,14,0,0,0.010989
Andrew-Estermont,Andrew Estermont,Other,3,11,7,0.263419,0.277685,794,0.002101,0.002101,0.000876,0,2,8,0.333333,1,0.008987
Andrey-Dalt,Andrey Dalt,Other,5,37,7,0.277972,0.29345,12.950687,0.003541,0.003541,0.000942,0,15,1,0.9,9,0.014848
Anguy,Anguy,Other,9,81,7,0.309821,0.331647,398.465704,0.015542,0.015542,0.001438,0,0,0,0.555556,20,0.061721
Anya-Waynwood,Anya Waynwood,Other,7,44,7,0.287835,0.306679,184.30152,0.006581,0.006581,0.001284,0,10,10,0.52381,11,0.026211
Archibald-Yronwood,Archibald Yronwood,Other,4,43,8,0.229902,0.244704,0.75,0.000804,0.000804,0.000885,0,6,14,0.833333,5,0.004845
Ardrian-Celtigar,Ardrian Celtigar,Other,1,5,7,0.236607,0.244786,0,0.000277,0.000277,0.000426,0,2,8,0,0,0.001228
Areo-Hotah,Areo Hotah,Other,9,118,7,0.290889,0.310012,41.15351,0.011291,0.011291,0.001398,0,15,1,0.5,18,0.044969
Arianne-Martell,Arianne Martell,Martell,20,189,7,0.295319,0.32171,5642.682025,0.012294,0.012294,0.003824,0,15,1,0.189474,36,0.050802
Armen,Armen,Other,6,23,7,0.214981,0.227128,5.333333,0.000236,0.000236,0.001517,0,14,6,0.6,9,0.002226
Arnolf-Karstark,Arnolf Karstark,Other,5,20,6,0.315852,0.335639,826.89689,0.008894,0.008894,0.001125,0,2,3,0.2,2,0.036707
Aron-Santagar,Aron Santagar,Other,1,3,7,0.276618,0.290683,0,0.004299,0.004299,0.000299,0,0,4,0,0,0.016476
Arron,Arron,Other,3,14,7,0.238238,0.250755,0,0.000621,0.000621,0.000672,0,11,6,1,3,0.003632
Arson,Arson,Other,1,3,6,0.308259,0.327966,0,0.005045,0.005045,0.00033,0,11,6,0,0,0.022418
Arstan,Arstan,Other,8,90,7,0.29057,0.312234,39.115685,0.00695,0.00695,0.001393,0,6,14,0.5,14,0.032126
Arthor-Karstark,Arthor Karstark,Other,1,3,7,0.240109,0.248643,0,0.000311,0.000311,0.00038,0,2,3,0,0,0.001392
Arthur-Dayne,Arthur Dayne,Other,5,24,7,0.27739,0.292758,1671.862702,0.005382,0.005382,0.00123,0,5,14,0.3,3,0.021514
