Id,Label,clustering,triangles,pageranks,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,eigencentrality,weighted degree,Authority,Hub,modularity_class,stat_inf_class
Benfred-Tallhart,,0.166667,1,0.000914,4,7,0.298872,0.31714,0.000367,0,0.017605,16,0.004063,0.004063,3,13
Helman-Tallhart,,0.166667,1,0.000768,4,6,0.296089,0.312013,0.000136,0,0.023414,13,0.005953,0.005953,4,13
Leobald-Tallhart,,0.333333,1,0.000659,3,7,0.288462,0.302863,0.000021,0,0.015759,11,0.003837,0.003837,1,13
Stygg,,0.666667,2,0.000777,3,7,0.297976,0.315358,0.000004,0,0.016755,10,0.003858,0.003858,3,13
Jaremy-Rykker,,0.5,5,0.001068,5,6,0.312009,0.333878,0.002519,0,0.039849,30,0.008861,0.008861,10,9
Luwin,,0.359307,83,0.003184,22,6,0.383133,0.416918,0.003151,0,0.243835,376,0.059691,0.059691,1,8
Waymar-Royce,,0.333333,1,0.000841,3,7,0.280919,0.293387,0.001594,0,0.008697,34,0.002029,0.002029,7,9
Jack-Bulwer,,0.4,4,0.000971,5,6,0.311642,0.334172,0.000153,0,0.038044,19,0.00885,0.00885,8,9
Mariya-Darry,,1,1,0.000438,2,7,0.312623,0.330746,0,0,0.039997,11,0.010271,0.010271,1,6
Beth-Cassel,,1,3,0.000601,3,6,0.312009,0.330901,0,0,0.045961,11,0.011149,0.011149,1,8
Big-Boil,,1,1,0.000485,2,6,0.308498,0.328805,0,0,0.024811,6,0.005431,0.005431,10,9
Black-Balaq,,0,0,0.000428,1,8,0.206547,0.212507,0,0,0.000431,3,0.000072,0.000072,0,3
Blane,,0,0,0.00032,1,6,0.270869,0.283585,0,0,0.00695,3,0.00148,0.00148,10,9
Blue-Bard,,0.6,6,0.000862,5,7,0.314353,0.333827,0.000908,0,0.054159,23,0.013959,0.013959,0,4
Lambert-Turnberry,,0.666667,2,0.000627,3,8,0.239891,0.250112,0.000001,0,0.005566,9,0.001382,0.001382,0,4
Qyburn,,0.300654,46,0.00252,18,6,0.35349,0.383459,0.001701,0,0.22206,127,0.056994,0.056994,0,4
Tallad,,0.466667,7,0.001034,6,7,0.313857,0.333618,0.000845,0,0.050024,19,0.012855,0.012855,0,4
Bonifer-Hasty,,0,0,0.000319,1,7,0.311398,0.328733,0,0,0.030904,4,0.007921,0.007921,1,14
Tanda-Stokeworth,,0.761905,16,0.001025,7,7,0.332775,0.356951,0.000023,0,0.120808,48,0.031013,0.031013,0,3
Cellador,,0.666667,4,0.000722,4,6,0.308618,0.329853,0.000002,0,0.032296,22,0.00698,0.00698,10,9
Othell-Yarwyck,,0.509091,28,0.001642,11,6,0.314353,0.339392,0.000073,0,0.063546,81,0.013664,0.013664,10,9
Tormund,,0.27619,29,0.00271,15,6,0.312009,0.339665,0.00515,0,0.054631,180,0.011302,0.011302,10,9
Wick-Whittlestick,,1,1,0.000455,2,6,0.308379,0.328595,0,0,0.027209,10,0.005967,0.005967,10,9
Brynden-Rivers,,1,1,0.000457,2,6,0.295539,0.310566,0,0,0.019683,17,0.004748,0.004748,1,8
Chayle,,1,1,0.000489,2,6,0.295429,0.310356,0,0,0.018936,7,0.0046,0.0046,1,8
Cley-Cerwyn,,1,3,0.000597,3,6,0.299887,0.316038,0,0,0.032489,12,0.007982,0.007982,1,13
Coldhands,,0.666667,4,0.000719,4,6,0.297864,0.314759,0.000016,0,0.025759,20,0.006031,0.006031,1,8
Donella-Hornwood,,0.380952,8,0.001247,7,6,0.305065,0.324235,0.000224,0,0.049322,28,0.011972,0.011972,1,13
Hali,,0,0,0.00032,1,6,0.295319,0.309727,0,0,0.017489,3,0.004288,0.004288,1,8
Hallis-Mollen,,0.8,12,0.001024,6,6,0.325953,0.349581,0.000118,0,0.092327,46,0.022694,0.022694,1,14
Hodor,,0.563636,31,0.001659,11,6,0.314976,0.338386,0.000213,0,0.090728,383,0.022029,0.022029,1,8
Howland-Reed,,1,1,0.000452,2,6,0.320565,0.336771,0,0,0.04399,6,0.010995,0.010995,2,8
Hullen,,0.666667,10,0.000944,6,6,0.315226,0.336205,0.000046,0,0.079104,20,0.019599,0.019599,1,8
Jon-Umber-(Greatjon),,0.362637,33,0.002212,14,6,0.335726,0.363648,0.001361,0,0.140464,102,0.034921,0.034921,1,14
Joseth,,1,1,0.000443,2,6,0.295429,0.310356,0,0,0.026144,7,0.006377,0.006377,1,8
Leaf,,1,1,0.000457,2,6,0.295539,0.310566,0,0,0.019683,11,0.004748,0.004748,1,8
Meera-Reed,,0.436364,24,0.001768,11,6,0.305534,0.328365,0.000301,0,0.056904,291,0.01315,0.01315,1,8
Osha,,0.694444,25,0.001413,9,6,0.321993,0.345325,0.00022,0,0.083987,117,0.020247,0.020247,1,8
Poxy-Tym,,0,0,0.00032,1,6,0.295319,0.309727,0,0,0.017489,3,0.004288,0.004288,1,8
Reek,,1,1,0.000466,2,6,0.299887,0.315786,0,0,0.024469,7,0.00594,0.00594,3,13
Rickard-Stark,,0,0,0.000457,2,6,0.296531,0.311614,0.000006,0,0.021698,7,0.005356,0.005356,1,1
Stafford-Lannister,,0.833333,5,0.000704,4,6,0.331388,0.354549,0.000049,0,0.097082,14,0.024424,0.024424,1,8
Stiv,,1,1,0.000448,2,6,0.311276,0.328742,0,0,0.041789,7,0.010348,0.010348,1,8
